,Market Cap (intraday) ,Enterprise Value ,Trailing P/E ,Forward P/E ,PEG Ratio (5 yr expected) ,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue ,Enterprise Value/EBITDA ,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float 8,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Nov 29, 2021) 4","Short Ratio (Nov 29, 2021) 4","Short % of Float (Nov 29, 2021) 4","Short % of Shares Outstanding (Nov 29, 2021) 4","Shares Short (prior month Oct 28, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),"Shares Short (Nov 14, 2021) 4","Short Ratio (Nov 14, 2021) 4","Short % of Float (Nov 14, 2021) 4","Short % of Shares Outstanding (Nov 14, 2021) 4","Shares Short (prior month Oct 14, 2021) 4",Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4","Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4","Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4","Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4","Shares Short (Sep 14, 2021) 4","Short Ratio (Sep 14, 2021) 4","Short % of Float (Sep 14, 2021) 4","Short % of Shares Outstanding (Sep 14, 2021) 4","Shares Short (prior month Aug 12, 2021) 4","Shares Short (Oct 14, 2021) 4","Short Ratio (Oct 14, 2021) 4","Short % of Float (Oct 14, 2021) 4","Short % of Shares Outstanding (Oct 14, 2021) 4","Shares Short (prior month Sep 14, 2021) 4","Shares Short (Apr 14, 2021) 4","Short Ratio (Apr 14, 2021) 4","Short % of Float (Apr 14, 2021) 4","Short % of Shares Outstanding (Apr 14, 2021) 4","Shares Short (prior month Mar 14, 2021) 4","Shares Short (Aug 30, 2021) 4","Short Ratio (Aug 30, 2021) 4","Short % of Float (Aug 30, 2021) 4","Short % of Shares Outstanding (Aug 30, 2021) 4","Shares Short (prior month Jul 29, 2021) 4","Shares Short (Oct 28, 2021) 4","Short Ratio (Oct 28, 2021) 4","Short % of Float (Oct 28, 2021) 4","Short % of Shares Outstanding (Oct 28, 2021) 4","Shares Short (prior month Sep 29, 2021) 4","Shares Short (Sep 29, 2021) 4","Short Ratio (Sep 29, 2021) 4","Short % of Float (Sep 29, 2021) 4","Short % of Shares Outstanding (Sep 29, 2021) 4","Shares Short (prior month Aug 30, 2021) 4","Shares Short (Jul 14, 2021) 4","Short Ratio (Jul 14, 2021) 4","Short % of Float (Jul 14, 2021) 4","Short % of Shares Outstanding (Jul 14, 2021) 4","Shares Short (prior month Jun 14, 2021) 4","Shares Short (Jun 29, 2021) 4","Short Ratio (Jun 29, 2021) 4","Short % of Float (Jun 29, 2021) 4","Short % of Shares Outstanding (Jun 29, 2021) 4","Shares Short (prior month May 27, 2021) 4","Shares Short (Apr 29, 2021) 4","Short Ratio (Apr 29, 2021) 4","Short % of Float (Apr 29, 2021) 4","Short % of Shares Outstanding (Apr 29, 2021) 4","Shares Short (prior month Mar 30, 2021) 4"
AVPT,,,,,,,,,,N/A,N/A,N/A,17.90,5.97,7.93,9.91,935.26k,1.02M,N/A,N/A,N/A,1.84%,8.37%,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.60,N/A,N/A,37.35,25.90,35.15,32.59,99.31k,96.72k,32.77M,N/A,25.43M,25.14%,40.26%,,,,,,0.34,1.05%,0.30,0.88%,N/A,30.30%,"Aug 25, 2021","Aug 09, 2021",2:1,"Oct 09, 2000","Dec 30, 2020","Jun 29, 2021",14.31%,18.58%,7.82%,16.67%,234.64M,7.14,13.20%,149.82M,45.91M,33.58M,0.95,24.10%,117.49M,3.59,25.36M,12.04,2.04,6.24,51.04M,45.86M,,,,,,,,,,,,,,,,,,,,,346.57k,2.35,1.24%,1.06%,909.56k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNXN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.74,N/A,N/A,55.21,40.91,45.63,46.16,48.2k,52.13k,26.19M,N/A,10.99M,58.04%,43.34%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,"Dec 02, 2021","Jan 10, 2021",3:2,"May 23, 2000","Dec 30, 2020","Mar 30, 2021",2.03%,2.65%,4.44%,8.17%,2.52B,96.22,-10.50%,418.81M,80.16M,51.05M,1.95,-31.60%,92.26M,3.52,12.6M,1.95,2.92,24.74,-2.5M,-24.8M,,,,,,,,,,,,,,,,330.57k,6.23,3.01%,1.26%,425.04k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLIT,,,,,,,,,,0.77,N/A,N/A,11.63,6.64,10.23,8.78,806.3k,906.78k,101.09M,N/A,88.08M,3.05%,94.35%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Oct 14, 1999","Dec 30, 2020","Apr 01, 2021",-3.26%,10.21%,4.43%,-5.42%,411.99M,4.20,42.30%,233.59M,56.85M,-13.44M,-0.14,N/A,100.78M,1,184.99M,71.21,1.35,2.57,51.88M,42.59M,,,,,,,,,,,9.29M,13.14,14.01%,9.19%,9.35M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCSI,,,,,,,,,,N/A,N/A,N/A,69.31,34.81,62.10,60.85,274.1k,207.25k,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",22.28%,34.54%,N/A,N/A,688.41M,N/A,3.00%,524.21M,312.33M,153.38M,N/A,0.60%,192.6M,N/A,46.91M,3.80,1.46,N/A,245.24M,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.74,N/A,N/A,39.49,28.72,35.07,34.25,128.06k,155.44k,32.35M,N/A,31.61M,2.35%,92.61%,,,,,,0.16,0.53%,0.16,0.47%,0.60,13.56%,"Jan 13, 2022","Sep 29, 2021",2:1,"Aug 12, 1999","Dec 30, 2020","Jun 29, 2021",7.86%,9.51%,4.49%,9.09%,494.81M,15.31,53.90%,139.06M,74.1M,38.89M,1.31,-82.00%,117.4M,3.62,77.89M,17.15,2.57,13.47,91.84M,45.83M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.04k,3.32,2.38%,1.69%,392.21k,,,,,,,,,,,,,,,
PDFS,,,,,,,,,,1.49,N/A,N/A,33.78,16.44,27.58,21.31,122.45k,115.34k,36.93M,N/A,27.68M,20.41%,71.97%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",-52.07%,-19.75%,-4.40%,-22.39%,91.09M,2.56,14.40%,51.28M,-9.23M,-47.43M,-1.34,N/A,132.29M,3.58,7.89M,3.50,5.08,6.10,8.08M,15.49M,,,,,,,,,,,992.29k,6.92,3.52%,2.69%,719.62k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGYS,,,,,,,,,,1.47,N/A,N/A,64.09,35.80,47.52,51.80,90.76k,137.63k,23.89M,N/A,17.56M,9.86%,97.88%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,"Aug 02, 2009","Jul 15, 2009",3:2,"Sep 06, 1995","Mar 30, 2021","Jun 29, 2021",-12.67%,-11.44%,-5.71%,-16.38%,146.09M,6.19,29.90%,89.38M,-14.08M,-20.44M,-1.01,N/A,103.91M,4.25,12.59M,10.54,2.37,3.35,41.33M,47.38M,,,,,,,,,,,,,,,,,,,,,430.22k,6.14,3.23%,1.75%,420.05k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTCH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.70,7.01,8.88,10.93,1.08M,1.22M,141.26M,N/A,9.99M,16.49%,31.19%,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",0.00%,-344.13%,N/A,N/A,21.96M,2.44,143.20%,-2.18M,-74.62M,-88.15M,N/A,N/A,46.54M,3.07,62.79M,N/A,4.29,N/A,-51.52M,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGIC,,,,,,,,,,1.40,N/A,N/A,25.49,14.38,22.11,18.56,33.93k,29.21k,49.04M,N/A,26.64M,46.73%,23.58%,,,,,,0.44,2.13%,0.38,1.84%,2.65,68.75%,"Sep 13, 2021","Aug 26, 2021",3:1,"Feb 13, 2000","Dec 30, 2020","Jun 29, 2021",6.79%,11.27%,6.81%,11.91%,425.92M,8.68,37.70%,109.59M,62.6M,27.6M,0.52,35.60%,104.27M,2.13,60.45M,20.26,2.40,5.18,52.26M,38.71M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.73k,0.45,0.05%,0.03%,20.39k,,,,,,,,,,,,,,,,,,,,,,,,,
PLAB,,,,,,,,,,0.92,N/A,N/A,18.25,10.69,14.08,13.40,463.43k,1.35M,61.98M,N/A,60.25M,3.33%,92.19%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Dec 01, 1997","Oct 30, 2020","May 01, 2021",5.78%,10.90%,3.52%,4.94%,619.01M,9.77,11.90%,134.65M,160.53M,35.8M,0.56,67.50%,255.96M,4.13,120.71M,12.18,3.11,13.34,139.94M,17.38M,,,,,,,,,,,1.83M,4.05,3.57%,2.89%,1.57M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODN,,,,,,,,,,0.96,N/A,N/A,48.20,25.83,31.34,34.30,189.27k,371.66k,35.05M,N/A,29.46M,7.67%,98.29%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Sep 29, 2020","Mar 30, 2021",-12.60%,-3.30%,-1.40%,-23.64%,173.64M,4.99,20.60%,95.56M,477k,-21.88M,-0.46,N/A,148.34M,4.17,134.34M,109.36,2.43,3.56,14.1M,26.4M,,,,,,,,,,,,,,,,2.64M,10.79,7.55%,7.42%,3.16M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASR,,,,,,,,,,2.32,N/A,N/A,46.45,23.02,26.81,29.30,226.71k,296.86k,42.81M,N/A,42.71M,1.95%,91.72%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-9.48%,-9.59%,-4.86%,-9.78%,268.4M,6.54,17.00%,59.36M,-10.68M,-25.44M,-0.50,N/A,165.58M,3.77,17.78M,5.85,5.57,7.11,1.03M,-7.13M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27M,6.07,2.95%,2.91%,1.38M,,,,,,,,,,,,,,,,,,,,
ADTN,,,,,,,,,,1.35,N/A,N/A,24.76,14.37,20.00,19.86,366.28k,594.47k,48.4M,N/A,48.18M,0.97%,90.31%,,,,,,0.36,1.68%,0.36,1.70%,2.50,900.00%,"Nov 29, 2021","Nov 14, 2021",2:1,"Dec 15, 2003","Dec 30, 2020","Sep 29, 2021",0.31%,-1.38%,-0.85%,0.46%,538.97M,11.14,3.70%,218.01M,8.92M,1.67M,0.28,N/A,78.11M,1.61,N/A,N/A,2.61,7.65,17.69M,23.45M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65M,5.46,4.65%,3.39%,1.5M,,,,,,,,,,,,,,,,,,,,
GSKY,,,,,,,,,,1.68,N/A,N/A,12.63,4.19,11.83,8.23,2.27M,5.19M,78.37M,N/A,55.77M,12.50%,74.41%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",3.23%,11.89%,3.43%,N/A,528.96M,7.60,2.70%,129.65M,66.4M,17.1M,0.18,N/A,196.3M,2.72,473.42M,N/A,3.04,-0.01,-264.01M,-329.36M,,,,,,,,,,,2.04M,3.02,3.93%,1.11%,4.28M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE,,,,,,,,,,N/A,N/A,N/A,52.26,21.01,34.98,35.61,529.64k,1.11M,N/A,N/A,22.82M,0.77%,82.32%,3.2M,9.56,11.62%,7.39%,3.3M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-46.34%,-43.76%,N/A,N/A,117.91M,7.25,20.20%,91.67M,-49.88M,-59.04M,N/A,N/A,207.64M,4.76,N/A,N/A,3.86,N/A,-45.49M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVA,,,,,,,,,,1.08,N/A,N/A,83.95,38.56,45.08,47.39,110.81k,132.24k,22.81M,N/A,22.4M,4.66%,80.11%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-3.14%,3.27%,0.73%,-1.32%,108.96M,4.85,29.00%,89.58M,9.48M,-3.42M,-0.11,N/A,127.1M,5.54,7.78M,2.94,5.51,11.72,10.97M,14.14M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.38k,5.23,3.27%,2.70%,632.52k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUST,,,,,,,,,,N/A,N/A,N/A,17.73,5.28,6.63,9.03,1.99M,4.2M,161.45M,N/A,80.17M,43.36%,28.33%,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",0.00%,-253.00%,N/A,N/A,26.29M,0.37,71.90%,1.51M,-62.28M,-129.74M,N/A,N/A,240.15M,1.49,13.32M,5.89,19.74,N/A,-46.19M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.53M,6,N/A,5.29%,9.92M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.72,N/A,N/A,64.14,22.39,32.60,30.78,218.77k,315.31k,30.94M,N/A,23.63M,23.63%,64.03%,,,,,,0.3,1.12%,0.30,0.99%,0.74,11.28%,"Dec 14, 2021","Sep 01, 2021",3:1,"Jul 31, 2016","Dec 30, 2020","Jun 29, 2021",8.93%,13.64%,5.08%,12.17%,912.8M,29.88,121.30%,282.35M,139.23M,81.49M,2.91,-33.00%,98.94M,3.2,685.89M,100.60,1.96,20.60,63.62M,23.27M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52M,26.71,15.58%,11.38%,3.4M,,,,,,,,,,,,,,,,,,,,,,,,,
INST,,,,,,,,,,N/A,N/A,N/A,29.59,18.52,24.43,22.92,173.92k,193.34k,N/A,N/A,14.98M,1.60%,96.33%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-28.58%,-10.63%,N/A,N/A,382.3M,7.16,31.10%,156.72M,77.8M,-109.26M,N/A,N/A,227.49M,1.62,549.17M,42.60,0.96,N/A,103.74M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.89k,6.15,4.66%,0.50%,546.23k,,,,,,,,,,,,,,,,,,,,
WEAV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.40,13.21,17.46,17.46,507.24k,481.99k,N/A,N/A,4.82M,0.72%,69.98%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-43.68%,-42.55%,N/A,N/A,98.89M,8.12,53.70%,45.45M,-31.52M,-45.4M,N/A,N/A,42.5M,3.02,19.85M,83.42,1.15,N/A,-9.79M,N/A,63.61k,0.04,0.29%,0.10%,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YALA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.35,5.88,7.20,14.18,1.41M,793.45k,143.93M,N/A,35.97M,0.00%,13.61%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",7.50%,8.05%,5.44%,9.18%,216.44M,1.68,110.30%,73.66M,17.74M,15.69M,N/A,15.20%,296.17M,2,N/A,N/A,9.86,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77M,5.1,N/A,3.31%,5.03M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTGR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.58,N/A,N/A,46.38,26.07,29.59,35.32,351.38k,458.92k,30.47M,N/A,29.73M,2.05%,104.22%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,1612:1000,"Jan 01, 2019","Dec 30, 2020","Mar 27, 2021",6.36%,8.03%,6.69%,12.92%,1.34B,44.52,38.30%,372.15M,126.88M,85.43M,2.73,N/A,370.66M,12.17,33.03M,4.56,2.58,23.55,165.88M,141.48M,,,,,,,,,,,3.85M,13.65,17.57%,12.63%,3.8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.12,N/A,N/A,32.56,22.25,25.41,27.77,160.55k,211.93k,35.82M,N/A,35.07M,1.45%,97.82%,,,,,,0.66,2.45%,0.64,2.61%,N/A,81.65%,"Jan 12, 2022","Sep 28, 2021",3:2,"Apr 03, 2006","Dec 30, 2020","Jun 29, 2021",1.38%,2.54%,1.86%,2.96%,2.1B,57.92,10.90%,175.05M,97.4M,28.9M,0.50,N/A,369.3M,10.38,235.55M,24.35,2.18,27.11,140.79M,125.8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.53k,4.12,2.92%,2.10%,794.16k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.04,N/A,N/A,26.98,12.75,18.29,21.17,426.72k,803.7k,46.33M,N/A,45.76M,2.01%,84.87%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",70.89%,6.65%,3.74%,40.41%,509.6M,13.94,2.10%,128.32M,45.86M,80.66M,7.66,N/A,290.19M,6.26,4.79M,1.14,4.96,9.09,7.63M,73.66M,,,,,,,,,,,2.38M,2.38,5.19%,5.13%,3.18M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSWA,,,,,,,,,,0.49,N/A,N/A,33.27,16.03,26.93,23.24,117.14k,165.25k,30.89M,N/A,28.83M,3.16%,115.21%,,,,,,0.44,1.96%,0.44,1.78%,3.33,183.33%,"Feb 17, 2022","Aug 11, 2021",3:2,"Jul 23, 1990","Apr 29, 2021","Apr 29, 2021",7.26%,3.91%,1.56%,6.69%,111.41M,3.42,-2.40%,60.98M,9.97M,8.09M,0.24,460.00%,104.66M,3.19,1.56M,1.27,2.70,3.73,17.76M,12.55M,,,,,,,,,,,537.68k,5.32,2.02%,1.64%,541.27k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGII,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.65,N/A,N/A,25.63,16.33,22.75,20.51,122.03k,148.79k,34.03M,N/A,33.35M,1.74%,87.96%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,3:2,"Mar 31, 1992","Sep 29, 2020","Jun 29, 2021",3.37%,5.32%,1.76%,2.46%,302.7M,9.81,12.40%,148.46M,36.43M,10.21M,0.29,78.80%,146.94M,4.31,67.42M,14.48,4.29,13.49,57.41M,56.73M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.55k,5.86,2.86%,2.45%,559.89k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCSC,,,,,,,,,,1.59,N/A,N/A,40.83,23.47,35.29,31.75,108.45k,158.67k,25.47M,N/A,25.02M,2.14%,98.78%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Jun 05, 2006","Jun 29, 2021","Jun 29, 2021",0.34%,2.26%,2.65%,6.44%,3.15B,123.93,34.00%,350.72M,104.76M,45.39M,-9.06,N/A,62.72M,2.46,171.74M,23.49,1.66,27.12,140.94M,109.75M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.96k,2.41,1.45%,1.00%,206.88k,,,,,,,,,,,,,,,,,,,,,,,,,
NPTN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.89,N/A,N/A,16.14,7.95,13.23,10.82,1.07M,994.26k,51.33M,N/A,51.36M,2.69%,81.52%,2.38M,1.11,4.64%,4.52%,1.12M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-14.93%,-12.25%,-6.50%,-24.50%,277.87M,5.42,-18.20%,108.58M,-13.91M,-41.48M,-0.43,N/A,107.12M,2.03,61.07M,38.86,2.25,3.33,-16.2M,-3.62M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONTF,,,,,,,,,,N/A,N/A,N/A,81.98,15.07,17.81,30.84,730.36k,653.45k,46.37M,N/A,35.09M,8.02%,71.57%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",5.43%,5.93%,N/A,N/A,198.09M,7.88,43.50%,123.61M,15.82M,-2.34M,N/A,N/A,396.36M,8.5,5.62M,1.55,3.86,N/A,32.76M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37M,1.9,5.70%,2.93%,784.39k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLN,,,,,,,,,,N/A,N/A,N/A,12.19,6.12,8.74,8.53,200.1k,45.62k,N/A,N/A,N/A,2.75%,8.70%,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-42.96%,-44.53%,N/A,N/A,57.81M,3.55,9.20%,43.48M,-24.65M,-39.17M,N/A,N/A,51.87M,3.12,N/A,N/A,5.04,N/A,-22.29M,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYLT,,,,,,,,,,N/A,N/A,N/A,52.50,26.92,32.18,32.18,714.21k,482.38k,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMRC,,,,,,,,,,1.08,N/A,N/A,55.58,22.11,44.69,34.84,93.48k,123.31k,16.91M,N/A,12.21M,24.61%,56.10%,,,,,,N/A,N/A,0.00,0.00%,N/A,0.00%,"May 11, 2014","Apr 30, 2014",N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-163.96%,-130.06%,-30.34%,-77.67%,24.28M,1.61,-3.40%,16.06M,-29.61M,-51.26M,-3.10,N/A,60.95M,3.7,7.21M,11.05,5.53,4.69,-22.75M,-4.17M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21M,16.85,24.38%,13.03%,2.25M,,,,,,,,,,,,,,,
